Parent,ID,Generations,Start,Split,Lifespan,Parent,ID,Valid,Left Frame,Generation,C.Start,C.Split,C.Lifespan,,Notes,Rate,progeny.id,progeny.events,population.time,progeny.mle,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,6,1,18,120,1.7,0,6,T,0,0,3,20,1.7,,,0.407733636,6,5,119.6,0.04180602,,,,,,,,
6,675,2,126,978,14.2,6,675,T,0,1,21,163,14.2,,valid,0.048813182,6,NA,NA,NA,,,,,,,,
6,2538,2,126,270,2.4,6,2538,T,0,1,21,159,13.8,,X Invalid; splits in fr159; 2538 lost via blob-merge w/'123',0.288811325,6,NA,NA,NA,,,,,,,,
,,,,,,2538,l5,T,0,,159,330,17.1,,,,6,,,,,,,,,,,
,,,,,,2538,r6,T,0,,159,292,13.3,,,,6,,,,,,,,,,,
,,,,,,l5,l7,T,0,,330,531,20.1,,daughters last thru EOM,,6,,,,,,,,,,,
,,,,,,l7,l9,T,0,,531,549,1.8,,,,6,,,,,,,,,,,
,,,,,,l7,r10,T,0,,531,549,1.8,,,,6,,,,,,,,,,,
,,,,,,l5,r8,T,0,,330,549,21.9,,lasted thru EOM,,6,,,,,,,,,,,
,,,,,,r6,l9,T,0,,292,469,17.7,,daughters last thru EOM,,6,,,,,,,,,,,
,,,,,,l9,l136,T,0,,469,549,8,,,,6,,,,,,,,,,,
,,,,,,l9,r14,T,0,,469,549,8,,,,6,,,,,,,,,,,
,,,,,,r6,r10,T,0,,292,482,19,,daughters last thru EOM,,6,,,,,,,,,,,
,,,,,,r10,l16,T,0,,482,549,6.7,,,,6,,,,,,,,,,,
,,,,,,r10,r17,T,0,,482,549,6.7,,,,6,,,,,,,,,,,
2588,759,3,1860,2436,9.6,2588,759,T,0,3,310,550,24,,"Corrected; mislabelled as '1775', doesn't actually split thru EOM",0.072202831,6,NA,NA,NA,,,,,,,,
675,1229,3,984,1782,13.3,675,1229,T,0,2,164,297,13.3,,valid,0.052116329,6,NA,NA,NA,,,,,,,,
675,2588,3,984,1860,14.6,675,2588,T,0,2,164,310,14.6,,valid,0.047475834,6,NA,NA,NA,,,,,,,,
2588,2589,3,1860,2604,12.4,2588,2589,T,0,3,310,529,21.9,,X Corrected; daughters don't divide thru EOM,0.055898966,6,NA,NA,NA,,,,,,,,
,,,,,,2589,l22,T,0,,529,549,2,,,,6,,,,,,,,,,,
,,,,,,2589,r23,T,0,,529,549,2,,,,6,,,,,,,,,,,
2791,1417,4,2850,3174,5.4,2791,1417,F,0,,475,529,5.4,,X illegitimate,0.128360589,6,NA,NA,NA,,,,,,,,
1229,1617,4,1788,3294,25.1,1229,1617,T,0,3,298,511,21.3,,X Corrected; divides in fr511; daughters don't divide thru EOM,0.027615426,6,NA,NA,NA,,,,,,,,
,,,,,,1617,l26,T,0,,511,549,3.8,,,,6,,,,,,,,,,,
,,,,,,1617,r27,T,0,,511,549,3.8,,,,6,,,,,,,,,,,
1229,2791,4,1788,2850,17.7,1229,2791,T,0,3,298,467,16.9,,X Corrected; split at 467; mistracked as 2792 (IE lost); real daughters don't divide thru EOM,0.039160858,6,NA,NA,NA,,,,,,,,
,,,,,,2791,l29,T,0,,467,549,8.2,,,,6,,,,,,,,,,,
,,,,,,2791,r30,T,0,,467,549,8.2,,,,6,,,,,,,,,,,
2791,2792,4,2850,3042,3.2,2791,2792,F,0,,475,507,3.2,,X illegitimate,0.216608494,6,NA,NA,NA,,,,,,,,
,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
0,41,1,18,708,11.5,0,41,T,0,0,3,118,11.5,,,0.060273668,41,3,100.4,0.029880478,,,,,,,,
41,1535,2,714,1638,15.4,41,1535,T,0,1,119,274,15.5,,valid,0.045009557,41,NA,NA,NA,,,,,,,,
41,2816,2,714,792,1.3,41,2816,T,0,1,119,273,15.4,,X Corrected,0.533190139,41,NA,NA,NA,,,,,,,,
1535,989,3,1644,1674,0.5,1535,989,T,0,2,274,450,17.6,,"X Invalid; doesn't really split, actual is mislabelled as a '2845' daughter; really splits in fr450; those daughters don't split thru EOM",1.386294361,41,NA,NA,NA,,,,,,,,
,,,,,,989,l37,T,0,,450,549,9.9,,,,41,,,,,,,,,,,
,,,,,,989,r38,T,0,,450,549,9.9,,,,41,,,,,,,,,,,
1535,2676,3,1644,3294,27.5,1535,2676,T,0,2,274,443,16.9,,"X Corrected; splits in fr443, daughter appears to get the '2676' label; real daughters don't split thru EOM",0.025205352,41,NA,NA,NA,,,,,,,,
,,,,,,2676,l40,T,0,,443,549,10.6,,,,41,,,,,,,,,,,
,,,,,,2676,r41,T,0,,443,549,10.6,,,,41,,,,,,,,,,,
989,1600,4,1680,3294,26.9,989,1600,F,0,,280,549,26.9,,X illegitimate,0.025767553,41,NA,NA,NA,,,,,,,,
989,2845,4,1680,2718,17.3,989,2845,F,0,,280,453,17.3,,X illegitimate,0.040066311,41,NA,NA,NA,,,,,,,,
,,,,,,2816,l26,T,0,,273,463,19,,daughters last thru EOM,,41,,,,,,,,,,,
,,,,,,l26,l45,T,0,,463,549,8.6,,,,41,,,,,,,,,,,
,,,,,,l26,r46,T,0,,463,549,8.6,,,,41,,,,,,,,,,,
,,,,,,2816,r27,T,0,,273,488,21.5,,daughters last thru EOM,,41,,,,,,,,,,,
,,,,,,r27,l48,T,0,,488,549,6.1,,,,41,,,,,,,,,,,
,,,,,,r27,r49,T,0,,488,549,6.1,,,,41,,,,,,,,,,,
