Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,202,A,337,B,,,,,20.2,13.5,N,
,206,B,336,A,,,,,20.6,13,N,
,206,B,346,B,,,,,20.6,14,N,
,207,A,347,B,,,,,20.7,14,N,
,207,A,351,A,,,,,20.7,14.4,N,
,209,A,353,A,,,,,20.9,14.4,N,
,209,A,357,A,,,,,20.9,14.8,N,
,210,B,338,B,,,,,21,12.8,N,
,210,B,354,A,,,,,21,14.4,N,
,210,A,369,A,,,,,21,15.9,N,
,210,A,376,A,,,,,21,16.6,N,
,210,C,416,A,,,,,21,20.6,N,
,210,C,430,A,,,,,21,22,N,
,212,B,352,A,,,,,21.2,14,N,
,212,B,385,A,,,,,21.2,17.3,N,
,212,A,450,A,,,,,21.2,23.8,N,
,212,A,500,A,,,,,21.2,28.8,N,
,213,A,355,A,,,,,21.3,14.2,N,
,213,A,365,A,,,,,21.3,15.2,N,
,214,A,385,B,,,,,21.4,17.1,N,
,214,A,389,A,,,,,21.4,17.5,N,
,216,A,325,A,,,,,21.6,10.9,N,
,216,A,391,A,,,,,21.6,17.5,N,
,217,A,348,B,,,,,21.7,13.1,N,
,217,A,381,A,,,,,21.7,16.4,N,
,219,A,344,A,,,,,21.9,12.5,N,
,219,A,347,A,,,,,21.9,12.8,N,
,223,A,352,B,,,,,22.3,12.9,N,
,223,A,357,B,,,,,22.3,13.4,N,
,225,A,415,A,,,,,22.5,19,N,
,227,B,344,B,,,,,22.7,11.7,N,
,227,A,350,A,,,,,22.7,12.3,N,
,227,B,359,A,,,,,22.7,13.2,N,
,227,A,361,A,,,,,22.7,13.4,N,
,231,A,353,B,,,,,23.1,12.2,N,
,231,A,354,A,,,,,23.1,12.3,N,
,240,A,353,D,,,,,24,11.3,N,
,240,A,357,C,,,,,24,11.7,N,
,244,A,368,A,,,,,24.4,12.4,N,
,244,A,382,A,,,,,24.4,13.8,N,
,245,A,386,A,,,,,24.5,14.1,N,
,245,A,386,B,,,,,24.5,14.1,N,
,247,A,368,B,,,,,24.7,12.1,N,
,247,B,376,B,,,,,24.7,12.9,N,
,247,C,377,A,,,,,24.7,13,N,
,247,A,381,B,,,,,24.7,13.4,N,
,247,C,382,B,,,,,24.7,13.5,N,
,247,D,382,C,,,,,24.7,13.5,N,
,247,D,386,C,,,,,24.7,13.9,N,
,247,B,404,A,,,,,24.7,15.7,N,
,248,B,372,A,,,,,24.8,12.4,N,
,248,B,376,C,,,,,24.8,12.8,N,
,248,A,389,B,,,,,24.8,14.1,N,
,248,A,392,A,,,,,24.8,14.4,N,
,249,A,379,A,,,,,24.9,13,N,
,249,A,381,C,,,,,24.9,13.2,N,
,251,B,364,A,,,,,25.1,11.3,N,
,251,B,371,A,,,,,25.1,12,N,
,251,A,381,D,,,,,25.1,13,N,
,251,A,389,C,,,,,25.1,13.8,N,
,252,A,397,A,,,,,25.2,14.5,N,
,252,A,415,B,,,,,25.2,16.3,N,
,253,A,389,D,,,,,25.3,13.6,N,
,253,A,389,E,,,,,25.3,13.6,N,
,255,B,374,A,,,,,25.5,11.9,N,
,255,A,396,A,,,,,25.5,14.1,N,
,255,A,398,A,,,,,25.5,14.3,N,
,255,C,398,B,,,,,25.5,14.3,N,
,255,B,399,A,,,,,25.5,14.4,N,
,259,A,432,A,,,,,25.9,17.3,N,
,259,A,434,B,,,,,25.9,17.5,N,
,261,A,391,A,,,,,26.1,13,N,
,262,A,381,E,,,,,26.2,11.9,N,
,262,C,381,F,,,,,26.2,11.9,N,
