Parent2,ID2,Generation,Start,Split,Lifespan,Rate,progeny.id,progeny.events,population.time,progeny.mle,Parent2,ID2,Cstart,Csplit,Clifespan,Generation,Left Screen,Valid,progeny.time.corrected,progeny.mle.corrected,Left Screen,Individual Error,Notes
0,20,1,18,408,6.5,0.106638028,20,3,79.6,0.037688442,0,20,18,408,6.5,1,0,T,191.6,0.03131524,0,0,"1100 renumbered to 590 split, 1215 renumbered to 438 split into 438b and 737, 737 renumbered to 839, 453 renumbered to 916"
20,309,2,414,1278,14.4,0.048135221,20,NA,NA,NA,20,309,414,1278,14.4,2,0,T,NA,NA,0,0,
20,1100,2,414,546,2.2,0.3150669,20,NA,NA,NA,20,1100,414,1338,15.4,2,0,T,NA,NA,0,1,
309,637,3,1284,2556,21.2,0.032695622,20,NA,NA,NA,309,637,1284,2556,21.2,3,0,T,NA,NA,0,0,
309,1215,3,1284,2448,19.4,0.035729236,20,NA,NA,NA,309,1215,1284,2646,22.7,3,0,T,NA,NA,0,1,
1100,321,3,,,,,,,,,1100,321,1344,2862,25.3,3,1,T,,,1,1,
1100,1101,3,,,,,,,,,1100,1101,1344,2814,24.5,3,0,T,,,0,1,
637,453,4,2562,2784,3.7,0.187337076,20,NA,NA,NA,637,453,2562,3294,12.2,4,0,T,NA,NA,0,1,
637,1150,4,2562,3294,12.2,0.056815343,20,NA,NA,NA,637,1150,2562,3294,12.2,4,0,T,NA,NA,0,0,
1101,1102,4,,,,,,,,,1101,1102,2820,3294,7.9,4,0,T,,,0,1,
1101,889,4,,,,,,,,,1101,889,2820,3294,7.9,4,0,T,,,0,1,
1215,438,4,,,,,,,,,1215,438,2652,3294,10.7,4,0,T,,,0,1,
1215,737,4,,,,,,,,,1215,737,2652,3294,10.7,4,0,T,,,0,,
0,301,1,18,156,2.3,0.301368339,301,4,119.1,0.033585223,0,301,18,156,2.3,1,0,T,130.9,0.030557678,0,0,1035 renumbered to 824
301,36,2,162,300,2.3,0.301368339,301,NA,NA,NA,301,36,162,300,2.3,2,1,T,NA,NA,1,0,
1033,631,3,1146,2166,17,0.040773364,301,NA,NA,NA,1033,631,1146,2166,17,3,0,T,NA,NA,0,0,
1034,731,4,2112,3294,19.7,0.035185136,301,NA,NA,NA,1034,731,2112,3294,19.7,4,0,T,NA,NA,0,0,
301,1033,2,162,1146,16.4,0.042265072,301,NA,NA,NA,301,1033,162,1146,16.4,2,0,T,NA,NA,0,0,
1033,1034,3,1146,2112,16.1,0.04305262,301,NA,NA,NA,1033,1034,1146,2112,16.1,3,0,T,NA,NA,0,0,
1034,1035,4,2112,2586,7.9,0.087740149,301,NA,NA,NA,1034,1035,2112,3294,19.7,4,0,T,NA,NA,0,1,
631,737,4,2172,3294,18.7,0.037066694,301,NA,NA,NA,631,737,2172,3294,18.7,4,0,T,NA,NA,0,0,
631,1249,4,2172,3294,18.7,0.037066694,301,NA,NA,NA,631,1249,2172,3294,18.7,4,0,T,NA,NA,0,0,
0,50,1,18,630,10.2,0.067955606,50,2,66.5,0.030075188,0,50,FALSE,FALSE,FALSE,1,1,F,FALSE,FALSE,1,1,This tree leaves the focal plane
50,195,2,636,762,2.1,0.330070086,50,NA,NA,NA,50,195,FALSE,FALSE,FALSE,2,1,F,NA,NA,1,1,
50,1073,2,636,642,0.1,6.931471806,50,NA,NA,NA,50,1073,FALSE,FALSE,FALSE,2,1,F,NA,NA,1,1,
195,397,3,768,2820,34.2,0.020267461,50,NA,NA,NA,195,397,FALSE,FALSE,FALSE,3,1,F,NA,NA,1,1,
195,1132,3,768,1962,19.9,0.034831517,50,NA,NA,NA,195,1132,FALSE,FALSE,FALSE,3,1,F,NA,NA,1,1,
0,576,1,18,300,4.7,0.147478124,576,2,66.8,0.02994012,0,576,18,300,4.7,1,0,T,66.8,0.02994012,0,0,
576,63,2,306,864,9.3,0.074531955,576,NA,NA,NA,576,63,306,864,9.3,2,1,T,NA,NA,1,0,
1039,180,3,1386,1566,3,0.23104906,576,NA,NA,NA,1039,180,1386,1566,3,3,1,T,NA,NA,1,0,
576,1039,2,306,1386,18,0.038508177,576,NA,NA,NA,576,1039,306,1386,18,2,0,T,NA,NA,0,0,
1039,1040,3,1386,3294,31.8,0.021797081,576,NA,NA,NA,1039,1040,1386,3294,31.8,3,0,T,NA,NA,0,0,
0,392,1,114,432,5.3,0.130782487,392,2,82.4,0.024271845,0,392,18,432,6.9,1,0,T,92,0.032608696,0,1,"87 renumbered to 133, 468 renumbered to 933"
392,87,2,438,1038,10,0.069314718,392,NA,NA,NA,392,87,438,1038,10,2,1,T,NA,NA,1,0,
1045,658,3,1560,3294,28.9,0.023984332,392,NA,NA,NA,1045,658,1566,2790,20.4,3,0,T,NA,NA,0,1,
392,1045,2,438,1560,18.7,0.037066694,392,NA,NA,NA,392,1045,438,1560,18.7,2,1,T,NA,NA,1,0,
1045,1046,3,1560,2730,19.5,0.035546009,392,NA,NA,NA,1045,1046,1566,2730,19.4,3,0,T,NA,NA,0,1,
658,658b,4,,,,,,,,,658,658b,2796,3294,8.3,4,0,T,,,0,1,
658,468,4,,,,,,,,,658,468,2796,3294,8.3,4,0,T,,,0,,
0,589,1,420,444,0.4,1.732867951,589,2,69.3,0.028860029,0,589,18,444,7.1,1,0,T,111.6,0.017921147,0,1,"Tree starts with 27 renumbered to 589, 88 renumbered to 305 renumbered to 455 renumbered to 466 renumbered to 915"
589,88,2,450,1158,11.8,0.058741286,589,NA,NA,NA,589,88,450,3294,47.4,2,0,T,NA,NA,0,1,
1047,853,3,2712,3294,9.7,0.071458472,589,NA,NA,NA,1047,853,2712,3294,9.7,3,0,T,NA,NA,0,0,
589,1047,2,450,2712,37.7,0.018385867,589,NA,NA,NA,589,1047,450,2712,37.7,2,0,T,NA,NA,0,0,
1047,1048,3,2712,3294,9.7,0.071458472,589,NA,NA,NA,1047,1048,2712,3294,9.7,3,0,T,NA,NA,0,0,
0,90,1,516,720,3.4,0.203866818,90,2,57.4,0.034843206,0,90,246,720,7.9,1,0,T,66.4,0.030120482,0,1,"Tree starts with 42 renumbered to 90, 219 renumbered to 268"
90,600,2,726,1584,14.3,0.048471831,90,NA,NA,NA,90,600,726,1584,14.3,2,0,T,NA,NA,0,0,
90,1193,2,726,978,4.2,0.165035043,90,NA,NA,NA,90,1193,726,978,4.2,2,1,T,NA,NA,1,0,
600,219,3,1590,2016,7.1,0.097626363,90,NA,NA,NA,600,219,1590,2286,11.6,3,1,T,NA,NA,1,1,
600,1081,3,1590,3294,28.4,0.024406591,90,NA,NA,NA,600,1081,1590,3294,28.4,3,0,T,NA,NA,0,0,
0,189,1,18,744,12.1,0.057284891,189,2,56,0.035714286,0,189,18,744,12.1,1,0,T,154.6,0.032341527,0,0,"95 renumbered to 165 renumbered to 675, and missed split, 236 renumbered to 729 misseds split, 1295 renumbered to 102, 1052 renumbered to 713 missed split"
189,95,2,750,930,3,0.23104906,189,NA,NA,NA,189,95,750,1860,18.5,2,0,T,NA,NA,0,1,
1051,489,3,1830,3042,20.2,0.034314217,189,NA,NA,NA,1051,489,1830,3042,20.2,3,1,T,NA,NA,1,0,
189,1051,2,750,1830,18,0.038508177,189,NA,NA,NA,189,1051,750,1830,18,2,0,T,NA,NA,0,0,
1051,1052,3,1830,1992,2.7,0.256721178,189,NA,NA,NA,1051,1052,1830,2850,17,3,0,T,NA,NA,0,1,
95,1088,3,,,23.8,,189,,,,95,1088,1866,3294,23.8,3,0,T,NA,NA,0,0,
95,236,3,,,2.2,,189,,,,95,236,1866,2886,17,3,0,T,NA,NA,0,,
1052,713,4,,,,,,,,,1052,713,2856,3294,7.3,4,0,T,,,0,1,
1052,902,4,,,,,,,,,1052,902,2856,3294,7.3,4,0,T,,,0,1,
236,1295,4,,,,,,,,,236,1295,2892,3294,6.7,4,0,T,,,0,,
236,904,4,,,,,,,,,236,904,2892,3294,6.7,4,0,T,,,0,1,
0,106,1,18,846,13.8,0.050228057,106,3,67,0.044776119,0,106,18,846,13.8,1,0,T,71.3,0.042075736,0,0,1228 renumbered to 238
106,200,2,852,1752,15,0.046209812,106,NA,NA,C,106,200,852,1752,15,2,0,T,NA,NA,0,0,
106,1076,2,852,1182,5.5,0.12602676,106,NA,NA,NA,106,1076,852,1182,5.5,2,1,T,NA,NA,1,0,
200,678,3,1758,3018,21,0.033007009,106,NA,NA,NA,200,678,1758,3018,21,3,0,T,NA,NA,0,0,
200,1228,3,1758,1920,2.7,0.256721178,106,NA,NA,NA,200,1228,1758,2178,7,3,1,T,NA,NA,1,1,
678,954,4,3024,3294,4.5,0.154032707,106,NA,NA,NA,678,954,3024,3294,4.5,4,0,T,NA,NA,0,0,
678,1307,4,3024,3294,4.5,0.154032707,106,NA,NA,NA,678,1307,3024,3294,4.5,4,0,T,NA,NA,0,0,
0,108,1,18,606,9.8,0.070729304,108,2,85.8,0.023310023,0,108,18,606,9.8,1,0,T,157.9,0.018999367,0,0,"1192 renumbered to 645 missed split, 406 renumberd to 875, 405 renumbered to 847"
108,595,2,612,1518,15.1,0.045903787,108,NA,NA,NA,108,595,612,1518,15.1,2,0,T,NA,NA,0,0,
108,1192,2,612,1344,12.2,0.056815343,108,NA,NA,NA,108,1192,612,1524,15.2,2,0,T,NA,NA,0,1,
595,405,3,1524,2676,19.2,0.036101416,108,NA,NA,NA,595,405,1524,3294,29.5,3,0,T,NA,NA,0,1,
595,1136,3,1524,3294,29.5,0.023496515,108,NA,NA,NA,595,1136,1524,3294,29.5,3,0,T,NA,NA,0,0,
1192,645,3,,,,,,,,,1192,645,1530,3294,29.4,3,0,T,,,0,1,
1192,406,3,,,,,,,,,1192,406,1530,3294,29.4,3,0,T,,,0,,
0,109,1,18,894,14.6,0.047475834,109,2,65.1,0.030721966,0,109,18,894,14.6,1,0,T,121.2,0.024752475,0,0,"1201 renumbered to 649 and missed a split, 415 renumbered to 877"
109,617,2,900,3144,37.4,0.018533347,109,NA,NA,NA,109,617,900,3144,37.4,2,0,T,NA,NA,0,0,
109,1201,2,900,1398,8.3,0.083511709,109,NA,NA,NA,109,1201,900,1812,15.2,2,0,T,NA,NA,0,1,
617,1017,3,3150,3294,2.4,0.288811325,109,NA,NA,NA,617,1017,3150,3294,2.4,3,0,T,NA,NA,0,0,
617,1322,3,3150,3294,2.4,0.288811325,109,NA,NA,NA,617,1322,3150,3294,2.4,3,0,T,NA,NA,0,0,
1201,649,3,,,,,,,,,1201,649,1818,3294,24.6,3,0,T,NA,NA,0,1,
1201,415,3,,,,,,,,,1201,415,1818,3294,24.6,3,0,T,NA,NA,0,,
0,472,1,18,774,12.6,0.055011681,472,5,105.8,0.047258979,0,472,18,774,12.6,1,0,T,100.1,0.03996004,0,0,858 renumbered to 1257 renumbered to 919
472,122,2,780,1194,6.9,0.100456113,472,NA,NA,NA,472,122,780,1194,6.9,2,1,T,NA,NA,1,0,
1055,680,3,1782,2844,17.7,0.039160858,472,NA,NA,NA,1055,680,1782,2844,17.7,3,1,T,NA,NA,1,0,
1056,858,4,2724,2940,3.6,0.192540883,472,NA,NA,NA,1056,858,2724,3294,9.5,4,0,T,NA,NA,0,1,
472,1055,2,780,1782,16.7,0.041505819,472,NA,NA,NA,472,1055,780,1782,16.7,2,0,T,NA,NA,0,0,
1055,1056,3,1782,2724,15.7,0.044149502,472,NA,NA,NA,1055,1056,1782,2724,15.7,3,0,T,NA,NA,0,0,
1056,1057,4,2724,3096,6.2,0.111797932,472,NA,NA,NA,1056,1057,2724,3096,6.2,4,1,T,NA,NA,1,0,
680,897,4,2850,3294,7.4,0.093668538,472,NA,NA,NA,680,897,2850,3294,7.4,4,0,T,NA,NA,0,0,
680,1292,4,2850,3294,7.4,0.093668538,472,NA,NA,NA,680,1292,2850,3294,7.4,4,0,T,NA,NA,0,0,
0,577,1,18,798,13,0.053319014,577,2,86.1,0.023228804,0,577,18,798,13,1,0,T,148.3,0.020229265,0,0,"123 renumbered to 650 missed split, 486 renumbered to 949 "
577,123,2,804,1470,11.1,0.062445692,577,NA,NA,NA,577,123,804,1656,14.2,2,0,T,NA,NA,0,1,
1058,486,3,1782,3012,20.5,0.033812058,577,NA,NA,NA,1058,486,1782,3294,25.2,3,0,T,NA,NA,0,1,
577,1058,2,804,1782,16.3,0.042524367,577,NA,NA,NA,577,1058,804,1782,16.3,2,0,T,NA,NA,0,0,
1058,1059,3,1782,3294,25.2,0.02750584,577,NA,NA,NA,1058,1059,1782,3294,25.2,3,0,T,NA,NA,0,0,
123,650,3,,,,,,,,,123,650,1662,3294,27.2,3,0,T,,,0,1,
123,482,3,,,,,,,,,123,482,1662,3294,27.2,3,0,T,,,0,1,
0,147,1,18,966,15.8,0.043870075,147,1,63.6,0.01572327,0,147,18,966,15.8,1,0,T,63.6,0.01572327,0,0,
147,621,2,972,3294,38.7,0.01791078,147,NA,NA,NA,147,621,972,3294,38.7,2,0,T,NA,NA,0,0,
147,1203,2,972,1518,9.1,0.07617002,147,NA,NA,NA,147,1203,972,1518,9.1,2,1,T,NA,NA,1,0,
0,151,1,18,300,4.7,0.147478124,151,4,134.9,0.029651594,0,151,18,300,4.7,1,0,T,213.2,0.028142589,0,0,"205 renumbered to 320 split, 284 renumberd to 699, 1077b renumberd to 827"
151,308,2,306,1224,15.3,0.045303737,151,NA,NA,NA,151,308,306,1224,15.3,2,0,T,NA,NA,0,0,
1098,635,3,1266,3294,33.8,0.020507313,151,NA,NA,NA,1098,635,1266,2520,20.9,3,0,T,NA,NA,0,1,
151,1098,2,306,1266,16,0.043321699,151,NA,NA,NA,151,1098,306,1266,16,2,0,T,NA,NA,0,0,
1098,1099,3,1266,1584,5.3,0.130782487,151,NA,NA,NA,1098,1099,1266,1584,5.3,3,1,T,NA,NA,1,0,
308,205,3,1230,1716,8.1,0.085573726,151,NA,NA,NA,308,205,1230,2586,22.6,3,0,T,NA,NA,0,1,
308,1077,3,1230,2598,22.8,0.030401192,151,NA,NA,NA,308,1077,1230,2322,18.2,3,0,T,NA,NA,0,1,
205,831,4,1722,3294,26.2,0.026455999,151,NA,NA,NA,205,831,1722,3294,26.2,4,0,T,NA,NA,0,0,
205,284,4,1722,1884,2.7,0.256721178,151,NA,NA,NA,205,284,1722,3294,26.2,4,0,T,NA,NA,0,1,
1077,1077b,4,,,,,,,,,1077,1077b,2328,3294,16.1,4,0,T,,,0,,
1077,770,4,,,,,,,,,1077,770,2328,3294,16.1,4,0,T,,,0,1,
635,635b,4,,,,,,,,,635,635b,2526,3294,12.8,4,0,T,,,0,1,
635,811,4,,,,,,,,,635,811,2526,3294,12.8,4,0,T,,,0,1,
0,152,1,18,192,2.9,0.239016269,152,1,77.4,0.012919897,0,152,18,192,2.9,1,0,T,85.5,0.023391813,0,0,582 missed split
152,582,2,198,3294,51.6,0.013433085,152,NA,NA,NA,152,582,198,2796,43.3,2,0,T,NA,NA,0,1,
152,1188,2,198,1572,22.9,0.030268436,152,NA,NA,NA,152,1188,198,1572,22.9,2,1,T,NA,NA,1,0,
582,582,3,,,,,,,,,582,582b,2802,3294,8.2,3,0,T,NA,NA,0,1,
582,536,3,,,,,,,,,582,536,2802,3294,8.2,3,0,T,NA,NA,0,1,
0,155,1,282,1002,12,0.057762265,155,4,92.2,0.043383948,0,155,282,1002,12,1,0,T,162.3,0.043130006,0,0,"1207 renumbered to 221, 221 split into 221 and 665, 665 splits, new 221 renumbered to 723, 698 split into 1181 and 545, 545 renumbered to 967"
155,624,2,1008,1896,14.8,0.046834269,155,NA,NA,NA,155,624,1008,1896,14.8,2,0,T,NA,NA,0,0,
155,1207,2,1008,1626,10.3,0.067295843,155,NA,NA,NA,155,1207,1008,1854,14.1,2,0,T,NA,NA,0,1,
624,698,3,1902,2850,15.8,0.043870075,155,NA,NA,NA,624,698,1902,2844,15.7,3,0,T,NA,NA,0,1,
1235,908,4,2904,3294,6.5,0.106638028,155,NA,NA,NA,1235,908,2904,3294,6.5,4,0,T,NA,NA,0,0,
624,1235,3,1902,2904,16.7,0.041505819,155,NA,NA,NA,624,1235,1902,2904,16.7,3,0,T,NA,NA,0,0,
1235,1236,4,2904,3294,6.5,0.106638028,155,NA,NA,NA,1235,1236,2904,3294,6.5,4,0,T,NA,NA,0,0,
1207,221,3,,,,,,,,,1207,221,1860,2946,18.1,3,0,T,NA,NA,0,,
1207,665,3,,,,,,,,,1207,665,1860,2814,15.9,3,0,T,NA,NA,0,1,
698,1181,4,,,,,,,,,698,1181,2850,3294,7.4,4,0,T,,,0,1,
698,545,4,,,,,,,,,698,545,2850,3294,7.4,4,0,T,,,0,,
665,1287,4,,,,,,,,,665,1287,2820,3294,7.9,4,0,T,,,0,1,
665,882,4,,,,,,,,,665,882,2820,3294,7.9,4,0,T,,,0,1,
221,940,4,,,,,,,,,221,940,2952,3294,5.7,4,0,T,,,0,1,
221,723b,4,,,,,,,,,221,723b,2952,3294,5.7,4,0,T,,,0,1,
0,158,1,558,762,3.4,0.203866818,158,3,64.2,0.046728972,0,158,18,762,12.4,1,0,T,82.2,0.0243309,0,1,"1 renumberd to 43 renumbered to 158, 1287 renumbered to 354 renumbered to 787, 1069 renumbered to 97"
158,198,2,768,1914,19.1,0.036290428,158,NA,NA,NA,158,198,768,1914,19.1,2,0,T,NA,NA,0,0,
158,1069,2,768,1284,8.6,0.080598509,158,NA,NA,NA,158,1069,768,1062,4.9,2,1,T,NA,NA,1,1,
198,700,3,1920,3294,22.9,0.030268436,158,NA,NA,NA,198,700,1920,3294,22.9,3,0,T,NA,NA,0,0,
198,1287,3,1920,2064,2.4,0.288811325,158,NA,NA,NA,198,1287,1920,3294,22.9,3,0,T,NA,NA,0,1,
0,302,1,18,582,9.4,0.073739062,302,3,85.3,0.035169988,0,302,18,582,9.4,1,0,T,162.3,0.036968577,0,0,"159 renumbered to 186 missed spit, 408 renumberd to 512 missed split, 1282 renumbered to 970, 1137 renumbered to 671 split, 544 renumbered to 959"
302,159,2,588,1572,16.4,0.042265072,302,NA,NA,NA,302,159,588,1626,17.3,2,0,T,NA,NA,0,1,
1065,666,3,1680,2850,19.5,0.035546009,302,NA,NA,NA,1065,666,1680,2850,19.5,3,0,T,NA,NA,0,0,
302,1065,2,588,1680,18.2,0.03808501,302,NA,NA,NA,302,1065,588,1680,18.2,2,0,T,NA,NA,0,0,
1065,1066,3,1680,2376,11.6,0.059754067,302,NA,NA,NA,1065,1066,1680,2376,11.6,3,1,T,NA,NA,1,0,
666,544,4,2856,3030,2.9,0.239016269,302,NA,NA,NA,666,544,2856,3294,7.3,4,0,T,NA,NA,0,1,
666,1180,4,2856,3294,7.3,0.094951669,302,NA,NA,NA,666,1180,2856,3294,7.3,4,0,T,NA,NA,0,0,
159,408,3,,,,,,,,,159,408,1632,2760,18.8,3,0,T,NA,NA,0,,
159,1137,3,,,,,,,,,159,1137,1632,2826,19.9,3,0,T,NA,NA,0,,
408,1282,4,,,,,,,,,408,1282,2766,3294,8.8,4,0,T,,,0,1,
408,867,4,,,,,,,,,408,867,2766,3294,8.8,4,0,T,,,0,1,
1137,1291,4,,,,,,,,,1137,1291,2832,3294,7.7,4,0,T,,,0,1,
1137,894,4,,,,,,,,,1137,894,2832,3294,7.7,4,0,T,,,0,1,
0,160,1,612,942,5.5,0.12602676,160,2,75.3,0.026560425,0,160,18,942,15.4,1,0,T,115.9,0.025884383,0,1,"1202 renumbered to 260 missed split, 260 renumbered to 369. 498 renumbered to 1030"
160,619,2,948,2070,18.7,0.037066694,160,NA,NA,NA,160,619,948,2070,18.7,2,0,T,NA,NA,0,0,
160,1202,2,948,1704,12.6,0.055011681,160,NA,NA,NA,160,1202,948,1890,15.7,2,0,T,NA,NA,0,1,
619,498,3,2076,3168,18.2,0.03808501,160,NA,NA,NA,619,498,2076,3294,20.3,3,0,T,NA,NA,0,1,
619,1170,3,2076,3294,20.3,0.034145181,160,NA,NA,NA,619,1170,2076,3294,20.3,3,0,T,NA,NA,0,0,
1202,260,3,,,,,,,,,1202,260,1896,2490,9.9,3,1,T,NA,NA,1,,
1202,335,3,,,,,,,,,1202,335,1896,2832,15.6,3,1,T,NA,NA,1,1,
0,396,1,546,924,6.3,0.110023362,396,2,60.1,0.03327787,0,396,546,924,6.3,1,0,T,151.4,0.033025099,0,0,"1068 renumbered to 803 split, 803 b renumbered to 1184, 331 renumbered to 510, 164 renumbered to 483 missed split, 491 renumbered to 978, 1168 renumbered to 953"
396,164,2,930,1674,12.4,0.055898966,396,NA,NA,NA,396,164,930,1848,15.3,2,0,T,NA,NA,0,1,
1067,331,3,1782,2490,11.8,0.058741286,396,NA,NA,NA,1067,331,1782,2742,16,3,0,T,NA,NA,0,1,
396,1067,2,930,1782,14.2,0.048813182,396,NA,NA,NA,396,1067,930,1782,14.2,2,0,T,NA,NA,0,0,
1067,1068,3,1782,2706,15.4,0.045009557,396,NA,NA,NA,1067,1068,1782,2790,16.8,3,0,T,NA,NA,0,1,
164,491,3,,,,,,,,,164,491,1854,3294,24,3,0,T,NA,NA,0,,
164,1168,3,,,,,,,,,164,1168,1854,3294,24,3,0,T,NA,NA,0,,
331,864,4,,,,,,,,,331,864,2748,3294,9.1,4,0,T,NA,NA,0,1,
331,1281,4,,,,,,,,,331,1281,2748,3294,9.1,4,0,T,NA,NA,0,1,
1068,803,4,,,,,,,,,1068,803,2796,3294,8.3,4,0,T,NA,NA,0,,
1068,885,4,,,,,,,,,1068,885,2796,3294,8.3,4,0,T,NA,NA,0,1,
0,190,1,18,1044,17.1,0.040534923,190,2,83.8,0.023866348,0,190,18,1044,17.1,1,0,T,104.7,0.028653295,0,0,1208 renumbered to 338 split
190,625,2,1050,2370,22,0.03150669,190,NA,NA,NA,190,625,1050,2370,22,2,0,T,NA,NA,0,0,
190,1208,2,1050,1896,14.1,0.049159375,190,NA,NA,NA,190,1208,1050,2520,24.5,2,0,T,NA,NA,0,1,
625,776,3,2376,3294,15.3,0.045303737,190,NA,NA,NA,625,776,2376,3294,15.3,3,0,T,NA,NA,0,0,
625,1260,3,2376,3294,15.3,0.045303737,190,NA,NA,NA,625,1260,2376,3294,15.3,3,0,T,NA,NA,0,0,
1208,446,3,,,,,,,,,1208,446,2526,3030,8.4,3,1,T,,,1,1,
1208,338,3,,,,,,,,,1208,338,2526,2652,2.1,3,1,T,,,1,1,
0,191,1,108,534,7.1,0.097626363,191,2,80.2,0.024937656,0,191,108,534,7.1,1,0,T,107.1,0.028011204,0,0,218 renumberd to 265
191,592,2,540,1578,17.3,0.040066311,191,NA,NA,NA,191,592,540,1578,17.3,2,0,T,NA,NA,0,0,
191,1189,2,540,1968,23.8,0.029123831,191,NA,NA,NA,191,1189,540,1320,13,2,0,T,NA,NA,0,1,
592,218,3,1584,1794,3.5,0.198042052,191,NA,NA,NA,592,218,1584,2556,16.2,3,1,T,NA,NA,1,1,
592,1080,3,1584,3294,28.5,0.024320954,191,NA,NA,NA,592,1080,1584,3294,28.5,3,0,T,NA,NA,0,0,
1189,1189b,3,,,,,,,,,1189,1189b,1326,2172,14.1,3,1,T,,,1,1,
1189,194,3,,,,,,,,,1189,194,1326,1980,10.9,3,1,T,,,1,1,
0,568,1,18,786,12.8,0.054152123,568,2,97.9,0.020429009,0,568,18,786,12.8,1,0,T,140.2,0.021398003,0,0,"199 missed split, 495 renumberd to 955, 497 renumberd to 563 renumberd to 942"
568,199,2,792,2022,20.5,0.033812058,568,NA,NA,NA,568,199,792,2016,20.4,2,0,T,NA,NA,0,1,
1074,699,3,1920,3294,22.9,0.030268436,568,NA,NA,NA,1074,699,1920,3294,22.9,3,0,T,NA,NA,0,0,
568,1074,2,792,1920,18.8,0.036869531,568,NA,NA,NA,568,1074,792,1920,18.8,2,0,T,NA,NA,0,0,
1074,1075,3,1920,3294,22.9,0.030268436,568,NA,NA,NA,1074,1075,1920,3294,22.9,3,0,T,NA,NA,0,0,
199,495,3,,,,,,,,,199,495,2022,3294,21.2,3,0,T,NA,NA,0,,
199,497,3,,,,,,,,,199,497,2022,3294,21.2,3,0,T,NA,NA,0,,
0,390,1,18,870,14.2,0.048813182,390,3,100.3,0.029910269,0,390,18,870,14.2,1,0,T,151.3,0.033046927,0,0,"233 renumbered to 348 renumberd to 789, 355 renumberd to 825 renumbered to 532, 1119 renumbered to 924, 1086 and 233 split and left focal plane"
1085,233,3,1776,2064,4.8,0.144405663,390,NA,NA,NA,1085,233,1782,2916,18.9,3,0,T,NA,NA,0,1,
390,613,2,876,2130,20.9,0.033164937,390,NA,NA,NA,390,613,876,2130,20.9,2,0,T,NA,NA,0,0,
390,1085,2,876,1776,15,0.046209812,390,NA,NA,NA,390,1085,876,1776,15,2,0,T,NA,NA,0,0,
1085,1086,3,1776,2892,18.6,0.037265977,390,NA,NA,NA,1085,1086,1782,2916,18.9,3,0,T,NA,NA,0,1,
613,355,3,2136,2586,7.5,0.092419624,390,NA,NA,NA,613,355,2136,3294,19.3,3,0,T,NA,NA,0,1,
613,1119,3,2136,3294,19.3,0.035914362,390,NA,NA,NA,613,1119,2136,3294,19.3,3,0,T,NA,NA,0,0,
1086,1086a,4,,,,,,,,,1086,1086a,2922,3294,6.2,4,1,T,,,1,1,
1086,1086b,4,,,,,,,,,1086,1086b,2922,3294,6.2,4,1,T,,,1,1,
233,233a,4,,,,,,,,,233,233a,2922,3294,6.2,4,1,T,,,1,1,
233,233b,4,,,,,,,,,233,233b,2922,3294,6.2,4,1,T,,,1,1,
0,241,1,18,858,14,0.049510513,241,1,76.2,0.01312336,0,241,18,858,14,1,0,T,78.3,0.025542784,0,0,611 missed split
241,611,2,864,3294,40.5,0.017114745,241,NA,NA,NA,241,611,864,3156,38.2,2,0,T,NA,NA,0,1,
241,1198,2,864,2166,21.7,0.031942266,241,NA,NA,NA,241,1198,864,2166,21.7,2,1,T,NA,NA,1,0,
611,611b,3,,,,,,,,,611,611b,3162,3294,2.2,3,0,T,,,0,1,
611,611c,3,,,,,,,,,611,611c,3162,3294,2.2,3,0,T,,,0,1,
0,242,1,18,1386,22.8,0.030401192,242,2,72.9,0.027434842,0,242,18,1386,22.8,1,0,T,82.2,0.0243309,0,0,"506 renumbred to 934 renumberd to 717, 1174 renumbered to 559 renumberd to 934"
242,477,2,1392,2424,17.2,0.040299255,242,NA,NA,NA,242,477,1392,2424,17.2,2,0,T,NA,NA,0,0,
242,1161,2,1392,2196,13.4,0.051727402,242,NA,NA,NA,242,1161,1392,2196,13.4,2,1,T,NA,NA,1,0,
477,506,3,2430,3000,9.5,0.072962861,242,NA,NA,NA,477,506,2430,3294,14.4,3,0,T,NA,NA,0,1,
477,1174,3,2430,3030,10,0.069314718,242,NA,NA,NA,477,1174,2430,3294,14.4,3,0,T,NA,NA,0,1,
0,243,1,408,840,7.2,0.096270442,243,3,99.5,0.030150754,0,243,408,840,7.2,1,0,T,126.7,0.023677979,0,0,"1157 renumberd to 753, 433 renumberd to 670"
243,475,2,846,2328,24.7,0.028062639,243,NA,NA,NA,243,475,846,2328,24.7,2,0,T,NA,NA,0,0,
1156,705,3,1974,3294,22,0.03150669,243,NA,NA,NA,1156,705,1974,3294,22,3,0,T,NA,NA,0,0,
243,1156,2,846,1974,18.8,0.036869531,243,NA,NA,NA,243,1156,846,1974,18.8,2,0,T,NA,NA,0,0,
1156,1157,3,1974,2280,5.1,0.135911212,243,NA,NA,NA,1156,1157,1974,3294,22,3,0,T,NA,NA,0,1,
475,433,4,,,,,,,,,475,433,2334,3294,16,4,0,T,NA,NA,0,,
475,1147,4,,,,,,,,,475,1147,2334,3294,16,4,0,T,NA,NA,0,1,
0,470,1,18,1638,27,0.025672118,470,1,64.8,0.015432099,0,470,18,1638,27,1,0,T,82,0.012195122,0,0,254 renumbered to 756
470,254,2,1644,2298,10.9,0.063591484,470,NA,NA,NA,470,254,1644,3294,27.5,2,0,T,NA,NA,0,1,
