Birth frame,Birth ID,Split frame,Split ID,End of Movie,Left frame,Questionable,Notes,Birth time (h),Lifetime (h),EOM,dies,,,
14,A,343,A,,,,,1.4,32.9,N,,,,
14,A,466,A,,,,,1.4,45.2,N,,,,
14,A,548,A,,,,,1.4,53.4,N,,,,
14,A,317,A,,,,,1.4,30.3,N,,,,
17,A,288,A,,,,,1.7,27.1,N,,,,
17,A,315,A,,,,,1.7,29.8,N,,,,
24,A,276,A,,,,,2.4,25.2,N,,,,
24,A,294,B,,,,,2.4,27,N,,,,
37,A,306,A,,,,,3.7,26.9,N,,,,
37,A,,,,,,,3.7,,N,,,,
40,A,301,A,,,,,4,26.1,N,,,,
40,A,299,A,,,,,4,25.9,N,,,,
41,A,298,A,,,,,4.1,25.7,N,,,,
41,A,,,,,Y,Division hard to determine,4.1,,N,,,,
66,A,400,A,,,,,6.6,33.4,N,,,,
66,A,826,,Y,,,,6.6,76,Y,,,,
75,A,370,A,,,,,7.5,29.5,N,,,,
75,A,,,,,Y,Division outside of focal plane,7.5,,N,,,,
104,A,332,A,,,,,10.4,22.8,N,,,,
104,A,344,A,,,,,10.4,24,N,,,,
107,A,441,A,,,,,10.7,33.4,N,,,,
107,A,,,,,Y,lost above focal plane,10.7,,N,,,,
125,A,393,A,,,,,12.5,26.8,N,,,,
125,A,470,A,,,,,12.5,34.5,N,,,,
128,A,509,A,,,,,12.8,38.1,N,,,,
128,A,514,A,,,,,12.8,38.6,N,,,,
135,A,417,A,,,,,13.5,28.2,N,,,,
135,A,407,A,,,,,13.5,27.2,N,,,,
137,A,452,A,,,Y,Division outside of focal plane,13.7,31.5,N,,,,
137,A,,,,,Y,Left focal plane death,13.7,0,N,Y,,,
141,A,442,A,,,,,14.1,30.1,N,,,,
141,A,613,A,,,,,14.1,47.2,N,,,,
143,A,446,A,,,,,14.3,30.3,N,,,,
143,A,,,,,Y,Leaves the focal plane,14.3,,N,,,,
153,A,551,A,,,,,15.3,39.8,N,,,,
153,A,778,A,,,,,15.3,62.5,N,,,,
162,A,436,B,,,,,16.2,27.4,N,,,,
162,A,487,A,,,,,16.2,32.5,N,,,,
172,A,461,A,,,,,17.2,28.9,N,,,,
172,A,,,,,Y,Division outside of focal plane,17.2,,N,,,,
174,A,458,A,,,,,17.4,28.4,N,,,,
174,A,489,A,,,,,17.4,31.5,N,,,,
183,A,618,A,,,,,18.3,43.5,N,,,,
183,A,595,A,,,,,18.3,41.2,N,,,,
201,A,526,A,,,,,20.1,32.5,N,,,,
201,A,826,,Y,,,,20.1,62.5,Y,,,,
201,B,486,A,,,,,20.1,28.5,N,,,,
201,B,527,A,,,,,20.1,32.6,N,,,,
226,A,663,A,,,,,22.6,43.7,N,,,,
226,A,551,B,,,,,22.6,32.5,N,,,,
227,A,655,A,,,,,22.7,42.8,N,,,,
227,A,505,A,,,,,22.7,27.8,N,,,,
243,A,540,A,,,,,24.3,29.7,N,,,,
243,A,,,,,Y,Division outside of focal plane,24.3,,N,,,,
247,A,826,,Y,,,,24.7,57.9,Y,,,,
247,A,826,,Y,,,,24.7,57.9,Y,,,,
248,A,631,B,,,,,24.8,38.3,N,,,,
248,A,,,,,Y,Division outside of focal plane,24.8,,N,,,,
266,A,,,,,Y,Division outside of focal plane,26.6,,N,,,,
266,A,826,,Y,,,,26.6,56,Y,,,,
266,B,634,A,,,,,26.6,36.8,N,,,,
266,B,661,A,,,,,26.6,39.5,N,,,,
270,A,826,,Y,,,,27,55.6,Y,,,,
270,A,,,,Y,,,27,,N,,,,
272,A,826,,Y,,,,27.2,55.4,Y,,,,
272,A,826,,Y,,,,27.2,55.4,Y,,,,
273,A,664,A,,,,,27.3,39.1,N,,,,
273,A,702,A,,,,,27.3,42.9,N,,,,
288,B,775,A,,,,,28.8,48.7,N,,,,
288,B,631,A,,,,,28.8,34.3,N,,,,
290,A,563,A,,,,,29,27.3,N,,,,
290,A,,,,,Y,Left focal plane death,29,0,N,Y,,,
294,A,826,,Y,,,,29.4,53.2,Y,,,,
294,A,826,,Y,,,,29.4,53.2,Y,,,,
301,B,601,A,,,,,30.1,30,N,,,,
301,B,,,,Y,Y,Leaves frame very quickly,30.1,,N,,,,
436,C,765,A,,,,,43.6,32.9,N,,,,
436,C,826,,Y,,,,43.6,39,Y,,,,
484,A,744,A,,,,,48.4,26,N,,,,
484,A,826,,Y,,Y,Looks like about to divide,48.4,34.2,Y,,,,
524,A,826,,Y,,,,52.4,30.2,Y,,,,
524,A,826,,Y,,,,52.4,30.2,Y,,cell hours,cell deaths,death rate
525,A,826,,Y,,,,52.5,30.1,Y,,2376.9,3,0.001262148
525,A,826,,Y,,,,52.5,30.1,Y,,,,
,,,,,,,,,,,,,,
181,A,455,A,,,,,18.1,27.4,N,,,,
181,A,479,A,,,,,18.1,29.8,N,,,,
185,A,436,D,,,,,18.5,25.1,N,,,,
185,A,426,A,,,,,18.5,24.1,N,,,,
191,A,441,B,,,,,19.1,25,N,,,,
191,A,470,B,,,,,19.1,27.9,N,,,,
194,A,526,A,,,,,19.4,33.2,N,,,,
194,A,451,A,,,,,19.4,25.7,N,,,,
210,A,488,A,,,,,21,27.8,N,,,,
210,A,472,A,,,,,21,26.2,N,,,,
213,A,457,B,,,,,21.3,24.4,N,,,,
213,A,465,B,,,,,21.3,25.2,N,,,,
214,A,489,C,,,,,21.4,27.5,N,,,,
214,A,465,A,,,,,21.4,25.1,N,,,,
214,A,453,A,,,,,21.4,23.9,N,,,,
214,A,465,A,,,,,21.4,25.1,N,,,,
217,A,502,A,,,,,21.7,28.5,N,,,,
217,A,498,B,,,,,21.7,28.1,N,,,,
220,A,734,A,,,,,22,51.4,N,,,,
220,A,,,,,Y,Division outside focal plane,22,,N,,,,
225,A,498,A,,,,,22.5,27.3,N,,,,
225,A,583,A,,,,,22.5,35.8,N,,,,
227,B,,,,,,,22.7,,N,,,,
227,B,,,,,,,22.7,,N,,,,
232,A,489,B,,,,,23.2,25.7,N,,,,
232,A,516,A,,,,,23.2,28.4,N,,,,
234,B,525,A,,,,,23.4,29.1,N,,,,
234,B,,,,,,,23.4,,N,,,,
237,A,546,A,,,,,23.7,30.9,N,,,,
237,A,504,A,,,,,23.7,26.7,N,,,,
237,B,608,A,,,,,23.7,37.1,N,Y,,,
