Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Leftframe,Questionable,Notes,Birthtimeh,Lifetimeh,EOM,dies
,22,A,210,C,,,,,2.2,18.8,N,
,22,A,243,C,,,,,2.2,22.1,N,
,23,B,288,D,,,,,2.3,26.5,N,
,23,A,319,A,,,,,2.3,29.6,N,
,23,A,366,B,,,,,2.3,34.3,N,
,23,B,381,A,,,,,2.3,35.8,N,
,38,A,242,A,,,,,3.8,20.4,N,
,38,A,311,C,,,,,3.8,27.3,N,
,41,A,192,B,,,,,4.1,15.1,N,
,41,A,256,B,,,,,4.1,21.5,N,
,42,A,317,A,,,,,4.2,27.5,N,
,42,A,325,A,,,,,4.2,28.3,N,
,57,B,241,A,,,,,5.7,18.4,N,
,57,A,273,B,,,,,5.7,21.6,N,
,57,B,304,A,,,,,5.7,24.7,N,
,57,A,320,A,,,,,5.7,26.3,N,
,66,A,330,A,,,,,6.6,26.4,N,
,66,A,545,A,,,,,6.6,47.9,N,
,67,A,263,A,,,,,6.7,19.6,N,
,67,A,294,C,,,,,6.7,22.7,N,
,74,A,282,B,,,,,7.4,20.8,N,
,74,A,305,A,,,,,7.4,23.1,N,
,75,A,337,A,,,,,7.5,26.2,N,
,75,A,349,A,,,,,7.5,27.4,N,
,76,B,272,A,,,,,7.6,19.6,N,
,76,B,283,C,,,,,7.6,20.7,N,
,76,A,299,B,,,,,7.6,22.3,N,
,78,A,276,B,,,,,7.8,19.8,N,
,78,A,299,C,,,,,7.8,22.1,N,
,82,A,274,B,,,,,8.2,19.2,N,
,82,A,275,C,,,,,8.2,19.3,N,
,82,A,298,A,,,,,8.2,21.6,N,
,82,A,476,B,,,,divides into 3 ,8.2,39.4,N,
,83,A,295,B,,,,,8.3,21.2,N,
,83,A,298,B,,,,,8.3,21.5,N,
,90,A,243,B,,,,,9,15.3,N,
,90,A,260,A,,,,,9,17,N,
,91,A,294,B,,,,,9.1,20.3,N,
,91,A,299,A,,,,,9.1,20.8,N,
,92,A,287,A,,,,,9.2,19.5,N,
,92,A,296,B,,,,,9.2,20.4,N,
,94,A,286,A,,,,,9.4,19.2,N,
,94,A,311,B,,,,,9.4,21.7,N,
,104,A,309,B,,,,,10.4,20.5,N,
,107,A,269,B,,,,,10.7,16.2,N,
,107,A,270,C,,,,,10.7,16.3,N,
,109,A,270,A,,,,,10.9,16.1,N,
,109,A,282,C,,,,,10.9,17.3,N,
,114,B,272,B,,,,,11.4,15.8,N,
,114,B,277,B,,,,,11.4,16.3,N,
,114,A,318,C,,,,,11.4,20.4,N,
,114,A,613,B,,,,,11.4,49.9,N,
,115,A,258,C,,,,,11.5,14.3,N,
,115,A,264,B,,,,,11.5,14.9,N,
,119,A,277,A,,,,,11.9,15.8,N,
,119,A,296,A,,,,,11.9,17.7,N,
,122,A,273,A,,,,,12.2,15.1,N,
,124,A,259,A,,,,,12.4,13.5,N,
,124,A,261,A,,,,,12.4,13.7,N,
,126,B,264,A,,,,,12.6,13.8,N,
,126,B,270,B,,,,,12.6,14.4,N,
,126,A,295,A,,,,126 is incomplete separation,12.6,16.9,N,
,133,A,278,A,,,,,13.3,14.5,N,
,133,A,281,C,,,,,13.3,14.8,N,
,134,A,290,A,,,,,13.4,15.6,N,
,134,A,526,A,,,,,13.4,39.2,N,
,135,A,297,C,,,,,13.5,16.2,N,
,135,A,308,B,,,,,13.5,17.3,N,
,136,A,275,B,,,,,13.6,13.9,N,
,136,A,291,B,,,,,13.6,15.5,N,
,139,A,274,A,,,,,13.9,13.5,N,
,139,A,288,B,,,,,13.9,14.9,N,
,140,A,283,D,,,,,14,14.3,N,
,140,A,293,A,,,,,14,15.3,N,
,143,A,297,B,,,,,14.3,15.4,N,
,143,A,350,A,,,,,14.3,20.7,N,
,154,A,324,B,,,,,15.4,17,N,
,154,A,329,B,,,,,15.4,17.5,N,
,158,A,297,A,,,,,15.8,13.9,N,
,159,A,307,A,,,,,15.9,14.8,N,
