Entry frame,Birth frame,Birth ID,Split frame,Split ID,End of Movie,Left frame,Questionable,Notes,Birth time (h),Lifetime (h),EOM,dies
265,,,275,A,,,,,,27.5,N,
219,,,277,A,,,,,,27.7,N,
204,,,277,B,,,,,,27.7,N,
214,,,283,A,,,,,,28.3,N,
285,,,300,A,,,,,,30,N,
228,,,302,A,,,,,,30.2,N,
201,,,313,B,,,,,,31.3,N,
211,,,313,A,,,,,,31.3,N,
37,,,324,A,,,,,,32.4,N,
326,,,328,A,,,,,,32.8,N,
329,,,331,A,,,,,,33.1,N,
186,,,333,A,,,,,,33.3,N,
254,,,341,A,,,,,,34.1,N,
293,,,343,A,,,,,,34.3,N,
208,,,345,B,,,,,,34.5,N,
321,,,349,B,,,,,,34.9,N,
,24,A,258,A,,,,,2.4,23.4,N,
,24,A,319,A,,,,,2.4,29.5,N,
,41,A,334,A,,,,,4.1,29.3,N,
,41,A,422,A,,,,,4.1,38.1,N,
,53,A,221,A,,,,,5.3,16.8,N,
,53,A,297,A,,,,,5.3,24.4,N,
,58,A,291,A,,,,,5.8,23.3,N,
,58,A,292,A,,,,,5.8,23.4,N,
,61,A,268,A,,,,,6.1,20.7,N,
,61,A,285,A,,,,,6.1,22.4,N,
,62,A,316,A,,,,,6.2,25.4,N,
,62,A,338,A,,,,,6.2,27.6,N,
,63,A,243,A,,,,,6.3,18,N,
,63,A,283,B,,,,,6.3,22,N,
,64,A,342,A,,,,,6.4,27.8,N,
,64,A,476,A,,,,,6.4,41.2,N,
,81,A,260,A,,,,,8.1,17.9,N,
,81,A,307,A,,,,,8.1,22.6,N,
,82,A,281,A,,,,,8.2,19.9,N,
,85,B,282,A,,,,,8.5,19.7,N,
,85,A,335,A,,,,,8.5,25,N,
,85,A,431,A,,,,,8.5,34.6,N,
,90,A,272,B,,,,,9,18.2,N,
,95,A,313,C,,,,,9.5,21.8,N,
,95,A,354,B,,,,,9.5,25.9,N,
,101,A,325,B,,,,,10.1,22.4,N,
,101,A,406,A,,,,,10.1,30.5,N,
,103,A,340,A,,,,,10.3,23.7,N,
,103,A,376,A,,,,,10.3,27.3,N,
,112,A,287,A,,,,,11.2,17.5,N,
,112,A,309,B,,,,,11.2,19.7,N,
,117,A,276,A,,,,,11.7,15.9,N,
,117,A,305,A,,,,,11.7,18.8,N,
,128,A,310,B,,,,,12.8,18.2,N,
,128,A,317,A,,,,,12.8,18.9,N,
,129,A,266,A,,,,,12.9,13.7,N,
,129,A,281,B,,,,,12.9,15.2,N,
,130,A,322,A,,,,,13,19.2,N,
,130,A,368,A,,,,,13,23.8,N,
,131,A,309,A,,,,,13.1,17.8,N,
,131,A,367,A,,,,,13.1,23.6,N,
,133,A,323,B,,,,,13.3,19,N,
,133,A,340,B,,,,,13.3,20.7,N,
,135,A,300,B,,,,,13.5,16.5,N,
,135,A,303,B,,,,,13.5,16.8,N,
,142,A,294,A,,,,,14.2,15.2,N,
,142,A,310,A,,,,,14.2,16.8,N,
,161,A,349,A,,,,,16.1,18.8,N,
,163,A,350,A,,,,,16.3,18.7,N,
,163,A,375,A,,,,,16.3,21.2,N,
,165,A,325,A,,,,,16.5,16,N,
,165,A,327,A,,,,,16.5,16.2,N,
,171,A,339,A,,,,,17.1,16.8,N,
,174,A,347,A,,,,,17.4,17.3,N,
,174,A,421,A,,,,,17.4,24.7,N,
,205,C,408,A,,,,,20.5,20.3,N,
,205,B,418,A,,,,,20.5,21.3,N,
